year	category	n
0616	Forbes Ave & Market Square	-159
0616	Third Ave & Wood St	-3
0616	First Ave & Smithfield St (Art Institute)	-11
0616	First Ave & B St (T Station)	38
0616	Forbes Ave & Grant St	16
0616	Ross St & Sixth Ave (Steel Plaza T Station)	10
0616	Stevenson St & Forbes Ave	8
0616	Centre Ave & PPG Paints Arena	30
0616	12th St & Penn Ave	37
0616	10th St & Penn Ave (David L. Lawrence Convention Center)	2
0616	Fort Duquesne Blvd & 7th St	-12
0616	North Shore Trail & Fort Duquesne Bridge	-80
0616	Isabella St & Federal St (PNC Park)	-23
0616	Ridge Ave & Brighton Rd (CCAC)	15
0616	Federal St & E North Ave	11
0616	17th St & Penn Ave	-11
0616	21st St & Penn Ave	-124
0616	37th St & Butler St	-74
0616	42nd St & Butler St	-52
0616	42nd & Penn Ave.	80
0616	Taylor St & Liberty Ave	44
0616	Liberty Ave & S Millvale Ave (West Penn Hospital)	41
0616	Liberty Ave & Baum Blvd	13
0616	S Negley Ave & Baum Blvd	-9
0616	Penn Ave & N Fairmount St	65
0616	Penn Ave & S Whitfield St	-9
0616	Shady Ave & Ellsworth Ave	3
0616	Penn Ave & Putnam St (Bakery Square)	-18
0616	Alder St & S Highland Ave	6
0616	S Euclid Ave & Centre Ave	-9
0616	Maryland Ave & Ellsworth Ave	4
0616	Walnut St & College St	22
0616	Ivy St & Walnut St	-20
0616	Ellsworth Ave & N Neville St	24
0616	Fifth Ave & S Dithridge St	18
0616	Schenley Dr at Schenley Plaza (Carnegie Library Main)	32
0616	Frew St & Schenley Dr	28
0616	Boulevard of the Allies & Parkview Ave	12
0616	Atwood St & Bates St	13
0616	Bigelow Blvd & Fifth Ave	8
0616	Fifth Ave & S Bouquet St	38
0616	Centre Ave & Kirkpatrick St	35
0616	Coltart Ave & Forbes Ave	34
0616	Zulema St & Coltart Ave	28
0616	S 27th St & Sidney St. (Southside Works)	-80
0616	S 25th St & E Carson St	33
0616	S 22nd St & E Carson St	8
0616	S 18th St & Sidney St	-28
0616	S 12th St & E Carson St	11
0716	Liberty Ave & Stanwix St	-89
0716	Forbes Ave & Market Square	-111
0716	Third Ave & Wood St	6
0716	First Ave & Smithfield St (Art Institute)	-6
0716	First Ave & B St (T Station)	23
0716	Forbes Ave & Grant St	23
0716	Ross St & Sixth Ave (Steel Plaza T Station)	3
0716	Stevenson St & Forbes Ave	27
0716	Centre Ave & PPG Paints Arena	41
0716	12th St & Penn Ave	23
0716	10th St & Penn Ave (David L. Lawrence Convention Center)	-38
0716	Fort Duquesne Blvd & 7th St	2
0716	North Shore Trail & Fort Duquesne Bridge	-62
0716	Isabella St & Federal St (PNC Park)	-66
0716	Ridge Ave & Brighton Rd (CCAC)	17
0716	Federal St & E North Ave	2
0716	17th St & Penn Ave	-38
0716	21st St & Penn Ave	-63
0716	37th St & Butler St	-20
0716	42nd St & Butler St	-52
0716	42nd & Penn Ave.	58
0716	Taylor St & Liberty Ave	48
0716	Liberty Ave & S Millvale Ave (West Penn Hospital)	34
0716	Liberty Ave & Baum Blvd	29
0716	S Negley Ave & Baum Blvd	4
0716	Penn Ave & N Fairmount St	64
0716	Penn Ave & S Whitfield St	-17
0716	Shady Ave & Ellsworth Ave	1
0716	Penn Ave & Putnam St (Bakery Square)	-27
0716	Alder St & S Highland Ave	11
0716	S Euclid Ave & Centre Ave	-8
0716	Maryland Ave & Ellsworth Ave	6
0716	Walnut St & College St	26
0716	Ivy St & Walnut St	15
0716	Ellsworth Ave & N Neville St	12
0716	Fifth Ave & S Dithridge St	17
0716	Schenley Dr at Schenley Plaza (Carnegie Library Main)	14
0716	Frew St & Schenley Dr	14
0716	Boulevard of the Allies & Parkview Ave	37
0716	Atwood St & Bates St	53
0716	Bigelow Blvd & Fifth Ave	5
0716	Fifth Ave & S Bouquet St	33
0716	Centre Ave & Kirkpatrick St	25
0716	Coltart Ave & Forbes Ave	19
0716	Zulema St & Coltart Ave	45
0716	S 27th St & Sidney St. (Southside Works)	-109
0716	S 25th St & E Carson St	48
0716	S 22nd St & E Carson St	14
0716	S 18th St & Sidney St	-38
0716	S 12th St & E Carson St	10
